invoice_id,customer_id,invoice_date,due_date,period,product_id,product_description,product_category,quantity,unit_price,gross_amount,discount_amount,net_amount,tax_amount,total_amount,status,gl_entry_id,salesperson,territory,po_number,notes
INV-00068,CUST-024,2026-01-07,2026-02-06,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,50,9223.98,461199.24,0.0,461199.24,0.0,461199.24,Paid,GL-INV-00068,Nadia Osei,Northeast,PO-843215,
INV-00069,CUST-025,2026-01-03,2026-02-02,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,7,24776.38,173434.69,0.0,173434.69,0.0,173434.69,Paid,GL-INV-00069,Nadia Osei,International,PO-429164,
INV-00070,CUST-025,2026-01-10,2026-02-09,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,2,23758.65,47517.3,0.0,47517.3,0.0,47517.3,Paid,GL-INV-00070,Yuki Tanaka,Midwest,PO-799287,
INV-00071,CUST-026,2026-01-07,2026-02-21,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,19,12463.24,236801.51,0.0,236801.51,0.0,236801.51,Paid,GL-INV-00071,Brett Long,West,PO-810219,
INV-00072,CUST-026,2026-01-10,2026-02-24,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,12,3372.41,40468.94,0.0,40468.94,0.0,40468.94,Paid,GL-INV-00072,Brett Long,International,PO-974224,
INV-00073,CUST-027,2026-01-19,2026-03-05,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,14,6548.57,91679.96,0.0,91679.96,0.0,91679.96,Paid,GL-INV-00073,Yuki Tanaka,Midwest,PO-587575,
INV-00074,CUST-027,2026-01-17,2026-03-03,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,227,833.75,189260.64,0.0,189260.64,0.0,189260.64,Paid,GL-INV-00074,Brett Long,Southeast,PO-790855,
INV-00075,CUST-027,2026-01-21,2026-03-07,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,3,8436.68,25310.03,0.0,25310.03,0.0,25310.03,Paid,GL-INV-00075,Yuki Tanaka,Midwest,PO-197923,
INV-00076,CUST-027,2026-01-08,2026-02-22,2026-01,PROD-014,Clinical Trial Supply Kit,Clinical Supply,2,10147.89,20295.78,0.0,20295.78,0.0,20295.78,Open,GL-INV-00076,Tom Kane,Southeast,PO-125611,
INV-00077,CUST-027,2026-01-20,2026-03-06,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,2,5156.93,10313.86,0.0,10313.86,0.0,10313.86,Paid,GL-INV-00077,Sara Hill,West,PO-534572,
INV-00078,CUST-027,2026-01-13,2026-02-27,2026-01,PROD-015,BioProcess Training Service,Professional Service,1,4318.35,4318.35,0.0,4318.35,0.0,4318.35,Paid,GL-INV-00078,Brett Long,West,PO-355836,
INV-00079,CUST-028,2026-01-28,2026-02-27,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,1,3594.13,3594.13,0.0,3594.13,0.0,3594.13,Paid,GL-INV-00079,Sara Hill,West,PO-329471,
INV-00080,CUST-029,2026-01-18,2026-03-04,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,34,3251.64,110555.76,0.0,110555.76,0.0,110555.76,Paid,GL-INV-00080,Tom Kane,Northeast,PO-578634,
INV-00081,CUST-030,2026-01-18,2026-02-17,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,86,805.57,69279.08,0.0,69279.08,0.0,69279.08,Short Pay - Open,GL-INV-00081,Yuki Tanaka,Midwest,PO-891937,SCENARIO: Short pay; balance due 3980.35
INV-00082,CUST-031,2026-01-18,2026-03-04,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,94149.59,69156.29,0.0,69156.29,0.0,69156.29,Paid,GL-INV-00082,Brett Long,Southeast,PO-879779,
INV-00083,CUST-032,2026-01-27,2026-03-13,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,34,848.6,28852.28,0.0,28852.28,0.0,28852.28,Paid,GL-INV-00083,Nadia Osei,International,PO-608136,
INV-00084,CUST-033,2026-01-10,2026-02-09,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,8,5975.91,47807.28,0.0,47807.28,0.0,47807.28,Open,GL-INV-00084,Tom Kane,Midwest,PO-452161,
INV-00085,CUST-034,2026-01-08,2026-03-09,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,1,23364.84,23364.84,0.0,23364.84,0.0,23364.84,Paid,GL-INV-00085,Brett Long,Southeast,PO-840734,
INV-00086,CUST-035,2026-01-15,2026-03-01,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,7,11792.64,82548.51,0.0,82548.51,0.0,82548.51,Paid,GL-INV-00086,Brett Long,Northeast,PO-316881,
INV-00087,CUST-036,2026-01-01,2026-01-31,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,19,13638.19,259125.54,0.0,259125.54,0.0,259125.54,Paid,GL-INV-00087,Yuki Tanaka,West,PO-600149,
INV-00088,CUST-037,2026-01-28,2026-02-27,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,153,1033.95,158194.4,0.0,158194.4,0.0,158194.4,Open,GL-INV-00088,Brett Long,International,PO-883826,
INV-00089,CUST-037,2026-01-29,2026-02-28,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,18,3519.89,63358.1,0.0,63358.1,0.0,63358.1,Paid,GL-INV-00089,Tom Kane,West,PO-330080,
INV-00090,CUST-037,2026-01-13,2026-02-12,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,4,6639.17,26556.67,0.0,26556.67,0.0,26556.67,Paid,GL-INV-00090,Nadia Osei,West,PO-859359,
INV-00091,CUST-037,2026-01-20,2026-02-19,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,1,1355.86,853.49,0.0,853.49,0.0,853.49,Paid,GL-INV-00091,Yuki Tanaka,Northeast,PO-513160,
INV-00092,CUST-038,2026-01-14,2026-02-28,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,1,20261.71,20261.71,0.0,20261.71,0.0,20261.71,Paid,GL-INV-00092,Tom Kane,West,PO-290556,
INV-00093,CUST-039,2026-01-11,2026-02-10,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,6,11434.98,68609.89,0.0,68609.89,0.0,68609.89,Paid,GL-INV-00093,Nadia Osei,West,PO-391773,
INV-00094,CUST-039,2026-01-03,2026-02-02,2026-01,PROD-013,RegulatoryAI Platform License,Software,4,17335.22,69340.89,0.0,69340.89,0.0,69340.89,Paid,GL-INV-00094,Brett Long,Northeast,PO-885408,
INV-00095,CUST-040,2026-01-25,2026-02-24,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,115,1009.41,116082.06,0.0,116082.06,0.0,116082.06,Paid,GL-INV-00095,Sara Hill,Northeast,PO-359295,
INV-00096,CUST-041,2026-01-05,2026-02-04,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,10,4221.43,42214.3,0.0,42214.3,0.0,42214.3,Written Off,GL-INV-00096,Brett Long,Northeast,PO-691364,SCENARIO: Written off in GL; subledger not updated
INV-00097,CUST-042,2026-01-06,2026-02-05,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,66,851.55,56201.98,0.0,56201.98,0.0,56201.98,Paid,GL-INV-00097,Yuki Tanaka,International,PO-884256,
INV-00098,CUST-043,2026-01-04,2026-02-18,2026-01,PROD-013,RegulatoryAI Platform License,Software,2,20541.24,41082.49,0.0,41082.49,0.0,41082.49,Paid,GL-INV-00098,Yuki Tanaka,Northeast,PO-427110,
INV-00099,CUST-044,2026-01-23,2026-03-24,2026-01,PROD-015,BioProcess Training Service,Professional Service,49,3996.65,195836.07,0.0,195836.07,0.0,195836.07,Paid,GL-INV-00099,Tom Kane,Northeast,PO-720859,
INV-00100,CUST-044,2026-01-23,2026-03-24,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,81,3074.28,249016.64,0.0,249016.64,0.0,249016.64,Open,GL-INV-00100,Nadia Osei,International,PO-944657,
INV-00101,CUST-045,2026-01-14,2026-03-15,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,83878.08,83878.08,0.0,83878.08,0.0,83878.08,Open,GL-INV-00101,Nadia Osei,Northeast,PO-630538,
INV-00102,CUST-045,2026-01-14,2026-03-15,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,6,19869.59,119217.52,0.0,119217.52,0.0,119217.52,Open,GL-INV-00102,Brett Long,Northeast,PO-554582,
INV-00103,CUST-045,2026-01-15,2026-03-16,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,163,1066.75,173880.1,0.0,173880.1,0.0,173880.1,Paid,GL-INV-00103,Tom Kane,West,PO-284692,
INV-00104,CUST-045,2026-01-09,2026-03-10,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,9,3652.38,32871.41,0.0,32871.41,0.0,32871.41,Open,GL-INV-00104,Yuki Tanaka,International,PO-912270,
INV-00105,CUST-045,2026-01-24,2026-03-25,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,4,786.94,3147.75,0.0,3147.75,0.0,3147.75,Paid,GL-INV-00105,Yuki Tanaka,Midwest,PO-437960,
INV-00106,CUST-046,2026-01-15,2026-03-16,2026-01,PROD-014,Clinical Trial Supply Kit,Clinical Supply,6,9212.45,55274.73,0.0,55274.73,0.0,55274.73,Paid,GL-INV-00106,Tom Kane,West,PO-697530,
INV-00107,CUST-047,2026-01-28,2026-03-29,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,6,10886.1,65316.6,0.0,65316.6,0.0,65316.6,Open,GL-INV-00107,Nadia Osei,Southeast,PO-611233,
INV-00108,CUST-048,2026-01-29,2026-02-28,2026-01,PROD-013,RegulatoryAI Platform License,Software,5,17731.52,88657.62,0.0,88657.62,0.0,88657.62,Paid,GL-INV-00108,Yuki Tanaka,Midwest,PO-682789,
INV-00109,CUST-048,2026-01-03,2026-02-02,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,34,5116.57,173963.39,0.0,173963.39,0.0,173963.39,Paid,GL-INV-00109,Tom Kane,West,PO-612311,
INV-00110,CUST-049,2026-01-16,2026-02-15,2026-01,PROD-004,GenomiX Sequencing Panel,Diagnostic,61,4033.61,246050.07,0.0,246050.07,0.0,246050.07,Paid,GL-INV-00110,Brett Long,Northeast,PO-197573,
INV-00111,CUST-050,2026-01-19,2026-02-18,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,8,11718.62,93748.94,0.0,93748.94,0.0,93748.94,Paid,GL-INV-00111,Nadia Osei,West,PO-680358,
INV-00112,CUST-051,2026-01-23,2026-02-22,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,9,11792.37,106131.37,0.0,106131.37,0.0,106131.37,Paid,GL-INV-00112,Brett Long,Midwest,PO-421517,
